20141,30140,30977,ABQ,MDW,1121,108.00,$252.73,WN,96.4,$253.39,WN,96.4,$253.39
20141,30140,30721,ABQ,MHT,1955,17.56,$251.54,WN,87.3,$251.16,WN,87.3,$251.16
20141,30140,32467,ABQ,MIA,1689,33.67,$290.39,AA,69.3,$285.85,DL,16.8,$275.94
20141,30140,32457,ABQ,OAK,889,267.44,$220.32,WN,92.3,$220.72,WN,92.3,$220.72
20141,30140,32575,ABQ,ONT,630,64.78,$228.31,WN,77.2,$228.85,US,18.0,$205.52
20141,30140,30977,ABQ,ORD,1118,110.00,$272.92,AA,57.1,$272.98,UA,33.5,$269.40
20141,30140,33667,ABQ,ORF,1702,20.56,$295.11,WN,31.9,$322.56,DL,28.1,$239.46
20141,30140,33667,ABQ,PHF,1685,1.44,$399.88,DL,84.6,$354.30,DL,84.6,$354.30
20141,30140,30721,ABQ,PVD,1950,15.56,$228.03,WN,70.7,$219.04,WN,70.7,$219.04
20141,30140,32457,ABQ,SFO,896,132.44,$221.60,WN,43.0,$199.31,WN,43.0,$199.31
20141,30140,32457,ABQ,SJC,870,75.89,$238.15,WN,78.8,$230.33,WN,78.8,$230.33
20141,30140,32575,ABQ,SNA,650,62.44,$234.96,WN,73.7,$230.72,US,19.6,$230.51
20141,30140,31703,ABQ,SWF,1811,0.78,$320.57,DL,57.1,$299.25,DL,57.1,$299.25
20141,30140,33195,ABQ,TPA,1498,101.67,$230.34,WN,49.2,$209.83,WN,49.2,$209.83
20141,30146,30852,ABY,BWI,676,3.67,$289.85,DL,100.0,$289.85,DL,100.0,$289.85
20141,30146,30852,ABY,DCA,646,10.56,$342.45,DL,97.9,$343.93,DL,97.9,$343.93
20141,30146,30852,ABY,IAD,637,1.00,$285.86,DL,88.9,$275.88,DL,88.9,$275.88
20141,30155,32575,ACT,BUR,1239,0.22,$353.00,,0.0,$0.00,,0.0,"$9,999.00"
20141,30155,30852,ACT,BWI,1269,5.44,$229.02,AA,93.9,$226.17,AA,93.9,$226.17
20141,30155,30852,ACT,DCA,1243,9.78,$260.44,AA,86.4,$257.42,AA,86.4,$257.42
20141,30155,31703,ACT,EWR,1428,4.78,$280.38,AA,86.1,$266.34,AA,86.1,$266.34
20141,30155,30852,ACT,IAD,1223,1.33,$243.58,AA,100.0,$243.58,AA,100.0,$243.58
20141,30155,31703,ACT,JFK,1446,0.11,$372.00,AA,100.0,$372.00,AA,100.0,$372.00
20141,30155,32575,ACT,LAX,1241,9.89,$293.37,AA,88.8,$301.66,AA,88.8,$301.66
20141,30155,31703,ACT,LGA,1444,5.44,$310.57,AA,93.9,$312.36,AA,93.9,$312.36
20141,30155,32575,ACT,ONT,1195,2.67,$252.23,AA,91.7,$259.20,AA,91.7,$259.20
20141,30155,30977,ACT,ORD,881,11.78,$238.41,AA,93.4,$239.91,AA,93.4,$239.91
20141,30155,32575,ACT,SNA,1210,5.33,$284.53,AA,95.8,$278.90,AA,95.8,$278.90
20141,30157,32575,ACV,BUR,564,2.33,$454.95,UA,100.0,$454.95,UA,100.0,$454.95
20141,30157,32575,ACV,LAX,577,15.33,$338.74,UA,91.3,$336.90,UA,91.3,$336.90
20141,30157,32575,ACV,LGB,592,0.22,$890.50,,0.0,$0.00,,0.0,"$9,999.00"
